component,checkpoint,learning_rate,status,best_epoch,runtime_seconds,threshold,support,positive_support,negative_support,positive_rate,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,false_positive_rate,false_negative_rate
B_dynabench,facebook/roberta-hate-speech-dynabench-r4-target,3e-05,ok,3,64.11742091178894,0.5,450,169,281,0.37555555555555553,0.8577777777777778,0.8436690602034156,0.8507597412366481,0.8436690602034156,0.84688995215311,0.8569005232101365,0.8577777777777778,0.8570519227361332,0.8260869565217391,0.7869822485207101,0.806060606060606,0.9067573543346881,0.8901201349951365,0.11960146331182409,253,28,36,133,0.099644128113879,0.21301775147928995
B_dynabench,facebook/roberta-hate-speech-dynabench-r4-target,2e-05,ok,2,64.33241248130798,0.5,450,169,281,0.37555555555555553,0.8511111111111112,0.8454063046179114,0.8401418380889184,0.8454063046179114,0.8425381903642774,0.8526781501142816,0.8511111111111112,0.8516826391609,0.7897727272727273,0.8224852071005917,0.8057971014492754,0.9100002105750805,0.8900978731383884,0.11671055791966282,244,37,30,139,0.13167259786476868,0.17751479289940827
C_hatebert,GroNLP/hateBERT,3e-05,ok,2,60.33976650238037,0.5,450,169,281,0.37555555555555553,0.8377777777777777,0.8146834003664006,0.8343475926257383,0.8146834003664006,0.8222508400473998,0.8368422727363125,0.8377777777777777,0.835326156030876,0.8243243243243243,0.7218934911242604,0.7697160883280757,0.9060203415527807,0.8777361571674989,0.12409846349677839,255,26,47,122,0.09252669039145907,0.2781065088757396
C_hatebert,GroNLP/hateBERT,2e-05,ok,3,60.626412868499756,0.5,450,169,281,0.37555555555555553,0.8355555555555556,0.8211585840931583,0.8260191103225669,0.8211585840931583,0.8234133717970473,0.8346326737588147,0.8355555555555556,0.8349381563813942,0.7914110429447853,0.7633136094674556,0.7771084337349398,0.901671966139527,0.8705052434718838,0.12911231157923767,247,34,40,129,0.12099644128113879,0.23668639053254437
D_deberta,microsoft/deberta-v3-base,2e-05,ok,3,114.33472347259521,0.5,450,169,281,0.37555555555555553,0.7888888888888889,0.7637452883825728,0.7783333333333333,0.7637452883825728,0.769341584879599,0.7862148148148148,0.7888888888888889,0.7860537837272361,0.7466666666666667,0.6627218934911243,0.7021943573667712,0.8683168733812041,0.8293545410735585,0.15194834184209655,243,38,57,112,0.13523131672597866,0.33727810650887574
D_deberta,microsoft/deberta-v3-base,3e-05,ok,3,112.51187133789062,0.5,450,169,281,0.37555555555555553,0.7666666666666667,0.7223672850554865,0.7666666666666667,0.7223672850554865,0.7324143867617328,0.7666666666666667,0.7666666666666667,0.7562420597390781,0.7666666666666667,0.5443786982248521,0.6366782006920415,0.8202004674766789,0.7784058415044927,0.16503970988435465,253,28,77,92,0.099644128113879,0.4556213017751479
E_twitter_large,cardiffnlp/twitter-roberta-large-hate-latest,2e-05,ok,1,104.64445805549622,0.5,450,169,281,0.37555555555555553,0.8577777777777778,0.8318768556928973,0.8617365558080287,0.8318768556928973,0.8425369054127939,0.859097370454528,0.8577777777777778,0.8547296033047811,0.8723404255319149,0.727810650887574,0.7935483870967742,0.9259618016803891,0.901030749658988,0.10569738431396249,263,18,46,123,0.06405693950177936,0.27218934911242604
E_twitter_large,cardiffnlp/twitter-roberta-large-hate-latest,1e-05,ok,3,154.8337242603302,0.5,450,169,281,0.37555555555555553,0.8555555555555555,0.8418897007728106,0.8479938271604939,0.8418897007728106,0.844694938382385,0.8547153635116598,0.8555555555555555,0.8549166957218396,0.8209876543209876,0.7869822485207101,0.8036253776435045,0.9290256691023184,0.8906394208006149,0.11855186865027194,252,29,36,133,0.10320284697508897,0.21301775147928995
