max_features,ngram_range,min_df,max_df,sublinear_tf,learning_rate,weight_decay,batch_size,use_pos_weight,config_index,best_epoch,epochs_trained,pos_weight_value,val_threshold,val_accuracy,val_balanced_accuracy,val_positive_precision,val_positive_recall,val_positive_f1,val_macro_f1,val_weighted_f1,val_roc_auc,val_pr_auc,val_brier_score,val_tn,val_fp,val_fn,val_tp,runtime_seconds
10000,"[1, 2]",2,0.95,True,0.001,0.0001,64,True,26,22,27,1.6569620253164556,0.5,0.7977777777777778,0.7838341510665627,0.7321428571428571,0.727810650887574,0.7299703264094956,0.7841681116949787,0.7976573382549211,0.8686432647560488,0.8366092959732442,0.175424323296231,236,45,46,123,20.135411024093628
20000,"[1, 2]",2,0.95,True,0.001,0.0001,64,True,58,22,27,1.6569620253164556,0.5,0.7977777777777778,0.7838341510665627,0.7321428571428571,0.727810650887574,0.7299703264094956,0.7841681116949787,0.7976573382549211,0.8686432647560488,0.8366092959732442,0.175424323296231,236,45,46,123,20.053030014038086
10000,"[1, 2]",1,0.95,True,0.0005,0.001,32,True,23,9,14,1.6569620253164556,0.5,0.8066666666666666,0.7838762660826717,0.7697368421052632,0.6923076923076923,0.7289719626168224,0.7893564476296547,0.8043854750106263,0.8655267535639832,0.8328163525530159,0.21492740080259273,246,35,52,117,11.32981276512146
10000,"[1, 2]",1,0.95,True,0.0005,0.0001,64,True,22,7,12,1.6569620253164556,0.5,0.8044444444444444,0.7832761271031186,0.7612903225806451,0.6982248520710059,0.7283950617283951,0.7878086419753086,0.8025960219478737,0.8637368653793511,0.8329091173262743,0.2298876217594134,244,37,51,118,9.155655860900879
10000,"[1, 2]",1,0.95,True,0.0005,0.0001,32,True,21,7,12,1.6569620253164556,0.5,0.8044444444444444,0.7832761271031186,0.7612903225806451,0.6982248520710059,0.7283950617283951,0.7878086419753086,0.8025960219478737,0.8647476257659669,0.8327758085742727,0.22034901292003706,244,37,51,118,9.73578405380249
10000,"[1, 2]",1,0.95,True,0.001,0.001,64,True,20,6,11,1.6569620253164556,0.5,0.8044444444444444,0.7820969066520668,0.7647058823529411,0.6923076923076923,0.7267080745341615,0.7872294697930323,0.8022925726130179,0.8647686832740213,0.8336866950928636,0.21920944039695672,245,36,52,117,8.57409954071045
10000,"[1, 2]",1,0.95,True,0.001,0.001,32,True,19,6,11,1.6569620253164556,0.5,0.8044444444444444,0.7820969066520668,0.7647058823529411,0.6923076923076923,0.7267080745341615,0.7872294697930323,0.8022925726130179,0.8656530986123103,0.8328517826949419,0.20731639777141417,245,36,52,117,9.032686710357666
10000,"[1, 2]",2,0.95,True,0.001,0.0001,32,True,25,17,22,1.6569620253164556,0.5,0.7955555555555556,0.780875571184906,0.7305389221556886,0.7218934911242604,0.7261904761904762,0.7815349544072948,0.7953095800968141,0.8701383478279181,0.8371640649184813,0.16953610003697603,236,45,47,122,17.467718362808228
20000,"[1, 2]",2,0.95,True,0.001,0.0001,32,True,57,17,22,1.6569620253164556,0.5,0.7955555555555556,0.780875571184906,0.7305389221556886,0.7218934911242604,0.7261904761904762,0.7815349544072948,0.7953095800968141,0.8701383478279181,0.8371640649184813,0.16953610003697603,236,45,47,122,17.659144401550293
10000,"[1, 2]",1,0.95,True,0.001,0.0001,64,True,18,2,7,1.6569620253164556,0.5,0.8044444444444444,0.780917686201015,0.7682119205298014,0.6863905325443787,0.725,0.7866379310344828,0.8019789272030652,0.8596095938006697,0.8298586051265233,0.23788046883985314,246,35,53,116,5.494610786437988
10000,"[1, 2]",2,0.95,True,0.001,0.001,32,True,27,9,14,1.6569620253164556,0.49,0.7866666666666666,0.7784750152666934,0.7039106145251397,0.7455621301775148,0.7241379310344828,0.775112443778111,0.7877994336165252,0.8665585714586536,0.8332356590898954,0.1950125076945899,228,53,43,126,11.150976657867432
20000,"[1, 2]",2,0.95,True,0.001,0.001,32,True,59,9,14,1.6569620253164556,0.49,0.7866666666666666,0.7784750152666934,0.7039106145251397,0.7455621301775148,0.7241379310344828,0.775112443778111,0.7877994336165252,0.8665585714586536,0.8332356590898954,0.1950125076945899,228,53,43,126,11.246561050415039
10000,"[1, 1]",1,0.95,True,0.0005,0.001,32,True,7,24,29,1.6569620253164556,0.5,0.7933333333333333,0.779096211754301,0.7261904761904762,0.7218934911242604,0.7240356083086054,0.7794245537102529,0.7932102467879963,0.8563877950683316,0.8237431045742629,0.1948559005068982,235,46,47,122,23.14945101737976
20000,"[1, 1]",1,0.95,True,0.0005,0.001,32,True,39,24,29,1.6569620253164556,0.5,0.7933333333333333,0.779096211754301,0.7261904761904762,0.7218934911242604,0.7240356083086054,0.7794245537102529,0.7932102467879963,0.8563877950683316,0.8237431045742629,0.1948559005068982,235,46,47,122,22.426767349243164
10000,"[1, 1]",1,0.95,True,0.001,0.0001,32,True,1,12,17,1.6569620253164556,0.48000000000000004,0.7777777777777778,0.7772536797995325,0.6787564766839378,0.7751479289940828,0.7237569060773481,0.7689416500646964,0.7801876307904364,0.8569352902777485,0.8250044838658039,0.19129632008805236,219,62,38,131,20.075155019760132
20000,"[1, 1]",1,0.95,True,0.001,0.0001,32,True,33,12,17,1.6569620253164556,0.48000000000000004,0.7777777777777778,0.7772536797995325,0.6787564766839378,0.7751479289940828,0.7237569060773481,0.7689416500646964,0.7801876307904364,0.8569352902777485,0.8250044838658039,0.19129632008805236,219,62,38,131,13.551512718200684
10000,"[1, 1]",2,0.95,True,0.001,0.001,32,True,11,17,22,1.6569620253164556,0.49,0.7844444444444445,0.7778748762871401,0.6978021978021978,0.7514792899408284,0.7236467236467237,0.7734809210219047,0.785884099035283,0.8592726736717977,0.8236705673564464,0.18334177661957546,226,55,42,127,16.99018621444702
20000,"[1, 1]",2,0.95,True,0.001,0.001,32,True,43,17,22,1.6569620253164556,0.49,0.7844444444444445,0.7778748762871401,0.6978021978021978,0.7514792899408284,0.7236467236467237,0.7734809210219047,0.785884099035283,0.8592726736717977,0.8236705673564464,0.18334177661957546,226,55,42,127,16.841967344284058
10000,"[1, 1]",1,0.95,True,0.001,0.001,32,True,3,12,17,1.6569620253164556,0.49,0.7844444444444445,0.7778748762871401,0.6978021978021978,0.7514792899408284,0.7236467236467237,0.7734809210219047,0.785884099035283,0.8555244372380972,0.8231659760744078,0.19488297492691375,226,55,42,127,13.522286891937256
20000,"[1, 1]",1,0.95,True,0.001,0.001,32,True,35,12,17,1.6569620253164556,0.49,0.7844444444444445,0.7778748762871401,0.6978021978021978,0.7514792899408284,0.7236467236467237,0.7734809210219047,0.785884099035283,0.8555244372380972,0.8231659760744078,0.19488297492691375,226,55,42,127,13.290752172470093
10000,"[1, 2]",2,0.95,True,0.001,0.001,64,True,28,8,13,1.6569620253164556,0.5,0.7977777777777778,0.7779380488113037,0.7468354430379747,0.6982248520710059,0.7217125382262997,0.7814496373504971,0.796317537576964,0.8640106129840595,0.8319267060821436,0.21160437564871182,241,40,51,118,9.90874981880188
20000,"[1, 2]",2,0.95,True,0.001,0.001,64,True,60,8,13,1.6569620253164556,0.5,0.7977777777777778,0.7779380488113037,0.7468354430379747,0.6982248520710059,0.7217125382262997,0.7814496373504971,0.796317537576964,0.8640106129840595,0.8319267060821436,0.21160437564871182,241,40,51,118,9.864110708236694
10000,"[1, 2]",2,0.95,True,0.0005,0.001,32,True,31,6,11,1.6569620253164556,0.5,0.8,0.7773589673398049,0.7581699346405228,0.6863905325443787,0.7204968944099379,0.7823937759246922,0.7977992219905865,0.8616100570658468,0.8298951642608036,0.22440012622663372,244,37,53,116,8.83893632888794
20000,"[1, 2]",2,0.95,True,0.0005,0.001,32,True,63,6,11,1.6569620253164556,0.5,0.8,0.7773589673398049,0.7581699346405228,0.6863905325443787,0.7204968944099379,0.7823937759246922,0.7977992219905865,0.8616100570658468,0.8298951642608036,0.22440012622663372,244,37,53,116,8.8921639919281
10000,"[1, 2]",2,0.95,True,0.0005,0.0001,64,True,30,9,14,1.6569620253164556,0.5,0.7977777777777778,0.7767588283602518,0.75,0.6923076923076923,0.72,0.7808695652173914,0.7960193236714975,0.860178146518141,0.828786255049997,0.2249067743211146,242,39,52,117,10.580636739730835
20000,"[1, 2]",2,0.95,True,0.0005,0.0001,64,True,62,9,14,1.6569620253164556,0.5,0.7977777777777778,0.7767588283602518,0.75,0.6923076923076923,0.72,0.7808695652173914,0.7960193236714975,0.860178146518141,0.828786255049997,0.2249067743211146,242,39,52,117,10.613114595413208
10000,"[1, 2]",2,0.95,True,0.0005,0.001,64,True,32,6,11,1.6569620253164556,0.5,0.7977777777777778,0.7755796079092,0.7532467532467533,0.6863905325443787,0.718266253869969,0.7802769744219862,0.7957107537593772,0.8580934532207458,0.8273284343789402,0.23269109166804164,243,38,53,116,8.45360517501831
20000,"[1, 2]",2,0.95,True,0.0005,0.001,64,True,64,6,11,1.6569620253164556,0.5,0.7977777777777778,0.7755796079092,0.7532467532467533,0.6863905325443787,0.718266253869969,0.7802769744219862,0.7957107537593772,0.8580934532207458,0.8273284343789402,0.23269109166804164,243,38,53,116,8.28928804397583
