length_metric,count,mean,std,min,25%,50%,75%,max
char_len,2999.0,122.06968989663221,102.27967327861964,5.0,64.0,95.0,146.0,1379.0
word_len,2999.0,22.500166722240746,18.771472027527906,1.0,12.0,18.0,28.0,281.0
