config_index,run_label,learning_rate,num_epochs,batch_size,max_length,weight_decay,class_weight,best_epoch,selected_threshold,runtime_seconds,threshold,support,positive_support,negative_support,positive_rate,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,false_positive_rate,false_negative_rate
2,config_002,2e-05,2,8,192,0.01,balanced,2,0.72,43.61104130744934,0.72,450,169,281,0.37555555555555553,0.8577777777777778,0.8483859420076229,0.8483859420076229,0.8483859420076229,0.8483859420076229,0.8577777777777778,0.8577777777777778,0.8577777777777778,0.8106508875739645,0.8106508875739645,0.8106508875739645,0.9257301690917896,0.8938927640935388,0.1251879426030892,249,32,32,137,0.11387900355871886,0.1893491124260355
6,config_006,3e-05,2,8,192,0.01,balanced,2,0.485,43.54105591773987,0.485,450,169,281,0.37555555555555553,0.8488888888888889,0.8507022678936175,0.8376208721036307,0.8507022678936175,0.8422973056546208,0.8551488982140323,0.8488888888888889,0.8503218417659036,0.7671957671957672,0.8579881656804734,0.8100558659217877,0.9251195013582093,0.8962305030198631,0.12398037265155759,237,44,24,145,0.15658362989323843,0.14201183431952663
3,config_003,2e-05,3,8,192,0.01,,3,0.175,64.51136922836304,0.175,450,169,281,0.37555555555555553,0.8488888888888889,0.8507022678936175,0.8376208721036307,0.8507022678936175,0.8422973056546208,0.8551488982140323,0.8488888888888889,0.8503218417659036,0.7671957671957672,0.8579881656804734,0.8100558659217877,0.9261829055149614,0.8883284241636858,0.12897993083442758,237,44,24,145,0.15658362989323843,0.14201183431952663
5,config_005,3e-05,2,8,192,0.01,,2,0.32,43.719862937927246,0.32,450,169,281,0.37555555555555553,0.8444444444444444,0.8518604308366148,0.8345312218462833,0.8518604308366148,0.8391018306636155,0.8558827782115536,0.8444444444444444,0.8463990592423086,0.7487437185929648,0.8816568047337278,0.8097826086956522,0.9222556802627977,0.8907526501165702,0.12103812232292198,231,50,20,149,0.17793594306049823,0.11834319526627218
1,config_001,2e-05,2,8,192,0.01,,2,0.36,54.6149787902832,0.36,450,169,281,0.37555555555555553,0.84,0.8506601528775084,0.8315579890492782,0.8506601528775084,0.8353022508692381,0.8551956197112992,0.84,0.8422252495882556,0.7365853658536585,0.893491124260355,0.8074866310160428,0.9239823959232665,0.887726422156513,0.11722223870061672,227,54,18,151,0.19217081850533807,0.10650887573964497
8,config_008,3e-05,3,8,192,0.01,balanced,3,0.305,62.66270637512207,0.305,450,169,281,0.37555555555555553,0.8533333333333334,0.8460064435974646,0.8428872519354771,0.8460064435974646,0.844368986983588,0.8541368780562453,0.8533333333333334,0.8536653461611016,0.7976878612716763,0.8165680473372781,0.8070175438596491,0.9292678304449451,0.8968959744778326,0.13557371987016084,246,35,31,138,0.12455516014234876,0.1834319526627219
4,config_004,2e-05,3,8,192,0.01,balanced,2,0.415,62.901148557662964,0.415,450,169,281,0.37555555555555553,0.8422222222222222,0.8477226305039062,0.8316929133858268,0.8477226305039062,0.8363845858404814,0.8520253718285214,0.8422222222222222,0.8440765302493635,0.75,0.8698224852071006,0.8054794520547945,0.9252037313904272,0.8922981774361177,0.12214294712052388,232,49,22,147,0.17437722419928825,0.1301775147928994
7,config_007,3e-05,3,8,192,0.01,,1,0.38,62.247007846832275,0.38,450,169,281,0.37555555555555553,0.8488888888888889,0.8448061656383583,0.8375559174586159,0.8448061656383583,0.8407046476761619,0.8513525783302526,0.8488888888888889,0.849691265478372,0.7821229050279329,0.8284023668639053,0.8045977011494253,0.917391395902209,0.8675858305115485,0.11825877047475052,242,39,29,140,0.1387900355871886,0.17159763313609466
