run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,calibration_method,calibration_cv,max_features,ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,64,validation_positive_f1,3.168144941329956,71858,sigmoid,3,100000,"[3, 6]",2,0.95,True,10.0,balanced,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.8039019562424983,0.7061855670103093,0.8106508875739645,0.7548209366391184,0.7945426843344567,0.8044289859830744,0.8690222999010297,0.8315729191347669,0.1538143279720811,224,57,32,137,0.20284697508896798,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,96,validation_positive_f1,3.1182305812835693,71858,sigmoid,3,200000,"[3, 6]",2,0.95,True,10.0,balanced,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.8039019562424983,0.7061855670103093,0.8106508875739645,0.7548209366391184,0.7945426843344567,0.8044289859830744,0.8690222999010297,0.8315729191347669,0.1538143279720811,224,57,32,137,0.20284697508896798,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,63,validation_positive_f1,3.0026988983154297,71858,sigmoid,3,100000,"[3, 6]",2,0.95,True,10.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.8039019562424983,0.7061855670103093,0.8106508875739645,0.7548209366391184,0.7945426843344567,0.8044289859830744,0.8684958621996673,0.8310459719419111,0.15389483044749738,224,57,32,137,0.20284697508896798,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,95,validation_positive_f1,3.079610586166382,71858,sigmoid,3,200000,"[3, 6]",2,0.95,True,10.0,,0.4,450,169,281,0.37555555555555553,0.8022222222222222,0.8039019562424983,0.7061855670103093,0.8106508875739645,0.7548209366391184,0.7945426843344567,0.8044289859830744,0.8684958621996673,0.8310459719419111,0.15389483044749738,224,57,32,137,0.20284697508896798,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,86,validation_positive_f1,2.7621331214904785,151605,sigmoid,3,200000,"[3, 6]",1,0.95,True,3.0,balanced,0.49,450,169,281,0.37555555555555553,0.8266666666666667,0.803428162311272,0.8053691275167785,0.7100591715976331,0.7547169811320755,0.8103481812876873,0.8241941688819728,0.8742445618985448,0.8395312821882606,0.14832605597623033,252,29,49,120,0.10320284697508897,0.28994082840236685
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,54,validation_positive_f1,2.7067785263061523,100000,sigmoid,3,100000,"[3, 6]",1,0.95,True,3.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.8244444444444444,0.8028280233317189,0.7960526315789473,0.7159763313609467,0.7538940809968847,0.808725969686698,0.8223730175383848,0.8731495714797111,0.8369757548032393,0.15037475210590695,250,31,48,121,0.1103202846975089,0.28402366863905326
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,32,validation_positive_f1,3.079904794692993,50000,sigmoid,3,50000,"[3, 6]",2,0.95,True,10.0,balanced,0.4,450,169,281,0.37555555555555553,0.8,0.8021225968118932,0.7025641025641025,0.8106508875739645,0.7527472527472527,0.7924184024930294,0.8022921108742004,0.8680536545305229,0.8282214826156734,0.15558216011460135,223,58,32,137,0.20640569395017794,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,31,validation_positive_f1,2.976364850997925,50000,sigmoid,3,50000,"[3, 6]",2,0.95,True,10.0,,0.4,450,169,281,0.37555555555555553,0.8,0.8021225968118932,0.7025641025641025,0.8106508875739645,0.7527472527472527,0.7924184024930294,0.8022921108742004,0.8677167344016509,0.8282211309303998,0.1556576083458979,223,58,32,137,0.20640569395017794,0.1893491124260355
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,88,validation_positive_f1,3.2638778686523438,151605,sigmoid,3,200000,"[3, 6]",1,0.95,True,10.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.8244444444444444,0.8016488028806671,0.8,0.7100591715976331,0.7523510971786834,0.8081893179525086,0.8220868306784385,0.8715492008675695,0.8369881018185843,0.149903352241205,251,30,49,120,0.10676156583629894,0.28994082840236685
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,87,validation_positive_f1,3.0997374057769775,151605,sigmoid,3,200000,"[3, 6]",1,0.95,True,10.0,,0.48000000000000004,450,169,281,0.37555555555555553,0.8244444444444444,0.8016488028806671,0.8,0.7100591715976331,0.7523510971786834,0.8081893179525086,0.8220868306784385,0.8713386257870244,0.8367532147925227,0.14996993684650473,251,30,49,120,0.10676156583629894,0.28994082840236685
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,84,validation_positive_f1,2.5918517112731934,151605,sigmoid,3,200000,"[3, 6]",1,0.95,True,1.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.8222222222222222,0.801048663901114,0.7908496732026143,0.7159763313609467,0.7515527950310559,0.806572245266393,0.8202659751027436,0.876708290340921,0.8420030239719402,0.1457480301811134,249,32,48,121,0.11387900355871886,0.28402366863905326
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,83,validation_positive_f1,2.4950644969940186,151605,sigmoid,3,200000,"[3, 6]",1,0.95,True,1.0,,0.49,450,169,281,0.37555555555555553,0.8244444444444444,0.8004695824296153,0.8040540540540541,0.7041420118343196,0.750788643533123,0.8076413200512956,0.8217913195402631,0.8753395523173787,0.8414566112821185,0.14560173907104107,252,29,50,119,0.10320284697508897,0.2958579881656805
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,19,validation_positive_f1,2.45196270942688,50000,sigmoid,3,50000,"[3, 6]",1,0.95,True,1.0,,0.49,450,169,281,0.37555555555555553,0.8266666666666667,0.7998905009581165,0.8181818181818182,0.6923076923076923,0.75,0.8086734693877551,0.8232766439909296,0.8722019836172586,0.8360439651313237,0.14984802964560795,255,26,52,117,0.09252669039145907,0.3076923076923077
LIN-SVM_CHAR-TF-IDF_20260708_094839,LIN-SVM_CHAR-TF-IDF,24,validation_positive_f1,3.020273447036743,50000,sigmoid,3,50000,"[3, 6]",1,0.95,True,10.0,balanced,0.4,450,169,281,0.37555555555555553,0.7977777777777778,0.7991640169302365,0.7010309278350515,0.8047337278106509,0.7493112947658402,0.7899256660048941,0.800034131735503,0.8683695171513403,0.8287288523042577,0.15567660887634696,223,58,33,136,0.20640569395017794,0.1952662721893491
