run_id,config_id,fit_seconds,selected_threshold,vector_size,window,pooling,normalize_embeddings,C,class_weight,threshold,support,positive_support,negative_support,positive_rate,accuracy,balanced_accuracy,positive_precision,positive_recall,positive_f1,macro_f1,weighted_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,false_positive_rate,false_negative_rate
FASTTEXT-EMB_LOG-REG_20260708_174434,42,0.11364936828613281,0.47000000000000003,100,5,mean,False,3.0,balanced,0.47000000000000003,450,169,281,0.37555555555555553,0.7888888888888889,0.7885089178546612,0.6927083333333334,0.7869822485207101,0.7368421052631579,0.780294893076848,0.7911098091549219,0.8464065362505001,0.7955382968652195,0.15756434803945518,222,59,36,133,0.2099644128113879,0.21301775147928995
FASTTEXT-EMB_LOG-REG_20260708_174434,41,0.09788656234741211,0.35000000000000003,100,5,mean,False,3.0,,0.35000000000000003,450,169,281,0.37555555555555553,0.7888888888888889,0.7873296974036093,0.6947368421052632,0.7810650887573964,0.7353760445682451,0.7798876525983555,0.7909660972636273,0.8451430857672303,0.7992395840256867,0.14755280471447502,223,58,37,132,0.20640569395017794,0.21893491124260356
FASTTEXT-EMB_LOG-REG_20260708_174434,40,0.07903027534484863,0.47000000000000003,100,5,mean,False,1.0,balanced,0.47000000000000003,450,169,281,0.37555555555555553,0.7888888888888889,0.7873296974036093,0.6947368421052632,0.7810650887573964,0.7353760445682451,0.7798876525983555,0.7909660972636273,0.8471435490324075,0.797052699624402,0.15743070259980288,223,58,37,132,0.20640569395017794,0.21893491124260356
FASTTEXT-EMB_LOG-REG_20260708_174434,72,0.22313475608825684,0.51,200,3,mean,True,3.0,balanced,0.51,450,169,281,0.37555555555555553,0.7911111111111111,0.7843921750300069,0.7071823204419889,0.757396449704142,0.7314285714285714,0.7802597402597402,0.7924132756132756,0.8511234180547074,0.7973648692417857,0.15693922103068397,228,53,41,128,0.18861209964412812,0.24260355029585798
FASTTEXT-EMB_LOG-REG_20260708_174434,39,0.06641793251037598,0.36000000000000004,100,5,mean,False,1.0,,0.36000000000000004,450,169,281,0.37555555555555553,0.7866666666666666,0.7831918970709006,0.6951871657754011,0.7692307692307693,0.7303370786516854,0.7769332452081956,0.7885305133289271,0.8449746257027942,0.8001726972348111,0.1476314894407105,224,57,39,130,0.20284697508896798,0.23076923076923078
FASTTEXT-EMB_LOG-REG_20260708_174434,70,0.1506023406982422,0.47000000000000003,200,3,mean,True,1.0,balanced,0.47000000000000003,450,169,281,0.37555555555555553,0.7777777777777778,0.780791341152688,0.6733668341708543,0.7928994082840237,0.7282608695652174,0.7701454723765937,0.7805700846318695,0.8471856640485166,0.7908379674963464,0.15794894907183654,216,65,35,134,0.2313167259786477,0.20710059171597633
FASTTEXT-EMB_LOG-REG_20260708_174434,89,0.21483635902404785,0.38,200,5,mean,False,3.0,,0.38,450,169,281,0.37555555555555553,0.7866666666666666,0.780833456168797,0.6994535519125683,0.757396449704142,0.7272727272727273,0.7760451227604512,0.7881840300818402,0.8555033797300426,0.8129479929308578,0.14323220837348932,226,55,41,128,0.19572953736654805,0.24260355029585798
FASTTEXT-EMB_LOG-REG_20260708_174434,67,0.08738422393798828,0.34,200,3,mean,True,0.3,,0.34,450,169,281,0.37555555555555553,0.78,0.7802122596811893,0.6804123711340206,0.7810650887573964,0.7272727272727273,0.7714575926866429,0.7824547147452177,0.843353197582598,0.7938517338847227,0.15001661983639067,219,62,37,132,0.2206405693950178,0.21893491124260356
FASTTEXT-EMB_LOG-REG_20260708_174434,68,0.09332108497619629,0.46,200,3,mean,True,0.3,balanced,0.46,450,169,281,0.37555555555555553,0.7777777777777778,0.7796121207016362,0.6751269035532995,0.7869822485207101,0.726775956284153,0.7697550193405784,0.7804520305901775,0.8447219356061404,0.7903244891901767,0.15892270435664055,217,64,36,133,0.2277580071174377,0.21301775147928995
FASTTEXT-EMB_LOG-REG_20260708_174434,86,0.09595537185668945,0.48000000000000004,200,5,mean,False,0.3,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.7844444444444445,0.7802333171892438,0.6935483870967742,0.7633136094674556,0.7267605633802817,0.7743894560020674,0.786243758165712,0.8485965170881677,0.8027501370421167,0.1552447661871349,224,57,40,129,0.20284697508896798,0.23668639053254437
FASTTEXT-EMB_LOG-REG_20260708_174434,22,0.07259464263916016,0.5,100,3,mean,True,1.0,balanced,0.5,450,169,281,0.37555555555555553,0.7888888888888889,0.7802543746972983,0.7078651685393258,0.7455621301775148,0.7262247838616714,0.7772172743901485,0.7899087386994584,0.8448903956705764,0.7902648705758942,0.15970874044788683,229,52,43,126,0.18505338078291814,0.25443786982248523
FASTTEXT-EMB_LOG-REG_20260708_174434,38,0.04569840431213379,0.46,100,5,mean,False,0.3,balanced,0.46,450,169,281,0.37555555555555553,0.78,0.7790330392301374,0.6822916666666666,0.7751479289940828,0.7257617728531855,0.7710441517327152,0.7823144326982872,0.8454168333719388,0.796691244141506,0.15769198569673135,220,61,38,131,0.21708185053380782,0.22485207100591717
FASTTEXT-EMB_LOG-REG_20260708_174434,15,0.07518267631530762,0.4,100,3,mean,False,1.0,,0.4,450,169,281,0.37555555555555553,0.7933333333333333,0.7802754322053529,0.7235294117647059,0.727810650887574,0.7256637168141593,0.7799441578723203,0.7934539565356847,0.8473751816210069,0.8016568925611559,0.14787689589724615,234,47,46,123,0.16725978647686832,0.27218934911242604
FASTTEXT-EMB_LOG-REG_20260708_174434,90,0.23934268951416016,0.45,200,5,mean,False,3.0,balanced,0.45,450,169,281,0.37555555555555553,0.7711111111111111,0.7778117037629767,0.6601941747572816,0.8047337278106509,0.7253333333333334,0.7645714285714287,0.7743373544973546,0.857251152898566,0.8114851905954601,0.152475939610611,211,70,33,136,0.2491103202846975,0.1952662721893491
FASTTEXT-EMB_LOG-REG_20260708_174434,71,0.2299799919128418,0.34,200,3,mean,True,3.0,,0.34,450,169,281,0.37555555555555553,0.7711111111111111,0.7778117037629767,0.6601941747572816,0.8047337278106509,0.7253333333333334,0.7645714285714287,0.7743373544973546,0.8493124723620206,0.8007894501189895,0.1475079888794579,211,70,33,136,0.2491103202846975,0.1952662721893491
FASTTEXT-EMB_LOG-REG_20260708_174434,69,0.14124727249145508,0.33,200,3,mean,True,1.0,,0.33,450,169,281,0.37555555555555553,0.7711111111111111,0.7778117037629767,0.6601941747572816,0.8047337278106509,0.7253333333333334,0.7645714285714287,0.7743373544973546,0.8462380761860642,0.7965194299478111,0.14880545916820917,211,70,33,136,0.2491103202846975,0.1952662721893491
FASTTEXT-EMB_LOG-REG_20260708_174434,66,0.2420957088470459,0.49,200,3,mean,False,3.0,balanced,0.49,450,169,281,0.37555555555555553,0.7844444444444445,0.779054096738192,0.6956521739130435,0.757396449704142,0.7252124645892352,0.7739407843969942,0.7860687217713698,0.854071469182337,0.802860244256218,0.15364055548399264,225,56,41,128,0.199288256227758,0.24260355029585798
FASTTEXT-EMB_LOG-REG_20260708_174434,93,0.1496434211730957,0.37,200,5,mean,True,1.0,,0.37,450,169,281,0.37555555555555553,0.7822222222222223,0.7784539577586389,0.6898395721925134,0.7633136094674556,0.7247191011235955,0.7722860211500331,0.7841248990232798,0.8504916928130725,0.8086190377445088,0.14612024193073722,223,58,40,129,0.20640569395017794,0.23668639053254437
FASTTEXT-EMB_LOG-REG_20260708_174434,45,0.07464718818664551,0.37,100,5,mean,True,1.0,,0.37,450,169,281,0.37555555555555553,0.7822222222222223,0.7784539577586389,0.6898395721925134,0.7633136094674556,0.7247191011235955,0.7722860211500331,0.7841248990232798,0.8418791720187833,0.7932887476351898,0.15043692986645754,223,58,40,129,0.20640569395017794,0.23668639053254437
