run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,max_features,ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,199,validation_positive_f1,1.4537990093231201,50000,50000,"[1, 3]",1,0.95,True,10.0,,0.45,450,169,281,0.37555555555555553,0.8244444444444444,0.8099033460380298,0.774390243902439,0.7514792899408284,0.7627627627627628,0.811716478383145,0.8239005142708846,0.8883530922950579,0.8533520048687385,0.12745447642616253,244,37,42,127,0.13167259786476868,0.2485207100591716
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,200,validation_positive_f1,1.4843027591705322,50000,50000,"[1, 3]",1,0.95,True,10.0,balanced,0.53,450,169,281,0.37555555555555553,0.8222222222222222,0.8081239866074248,0.7696969696969697,0.7514792899408284,0.7604790419161677,0.809568142866211,0.8217858746582218,0.8888163574722567,0.8533228676649577,0.13089034052574028,243,38,42,127,0.13523131672597866,0.2485207100591716
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,103,validation_positive_f1,1.3250513076782227,20000,20000,"[1, 2]",1,0.95,True,10.0,,0.48000000000000004,450,169,281,0.37555555555555553,0.8266666666666667,0.8069658236644276,0.7935483870967742,0.727810650887574,0.7592592592592593,0.8119212962962963,0.8250282921810701,0.8885215523594938,0.8526891136455288,0.12809231079443356,249,32,46,123,0.11387900355871886,0.27218934911242604
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,104,validation_positive_f1,1.3722200393676758,20000,20000,"[1, 2]",1,0.95,True,10.0,balanced,0.56,450,169,281,0.37555555555555553,0.8266666666666667,0.8069658236644276,0.7935483870967742,0.727810650887574,0.7592592592592593,0.8119212962962963,0.8250282921810701,0.8889848175366928,0.8523265322115364,0.1316311494650979,249,32,46,123,0.11387900355871886,0.27218934911242604
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,198,validation_positive_f1,1.4660842418670654,50000,50000,"[1, 3]",1,0.95,True,3.0,balanced,0.51,450,169,281,0.37555555555555553,0.8177777777777778,0.804565267746215,0.7604790419161677,0.7514792899408284,0.7559523809523809,0.8052811550151975,0.8175585387819431,0.8877003095453684,0.8527926013282794,0.13463901414020427,241,40,42,127,0.1423487544483986,0.2485207100591716
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,197,validation_positive_f1,1.468858003616333,50000,50000,"[1, 3]",1,0.95,True,3.0,,0.42000000000000004,450,169,281,0.37555555555555553,0.8177777777777778,0.804565267746215,0.7604790419161677,0.7514792899408284,0.7559523809523809,0.8052811550151975,0.8175585387819431,0.886710606666807,0.8515945409247518,0.12974323654306597,241,40,42,127,0.1423487544483986,0.2485207100591716
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,128,validation_positive_f1,1.4121840000152588,20000,20000,"[1, 3]",1,0.95,True,10.0,balanced,0.52,450,169,281,0.37555555555555553,0.8177777777777778,0.803386047295163,0.7636363636363637,0.7455621301775148,0.7544910179640718,0.8048073464378662,0.8173305215246773,0.8885215523594938,0.8527016655152848,0.13205563236740972,242,39,43,126,0.1387900355871886,0.25443786982248523
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,127,validation_positive_f1,1.4630358219146729,20000,20000,"[1, 3]",1,0.95,True,10.0,,0.44,450,169,281,0.37555555555555553,0.8155555555555556,0.8027859083156099,0.7559523809523809,0.7514792899408284,0.7537091988130564,0.8031423436338816,0.8154457041226203,0.8881214597064584,0.8522937325921108,0.12846493252711852,240,41,42,127,0.14590747330960854,0.2485207100591716
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,176,validation_positive_f1,1.3322842121124268,32281,50000,"[1, 2]",1,0.95,True,10.0,balanced,0.56,450,169,281,0.37555555555555553,0.82,0.8004485249215607,0.782051282051282,0.7218934911242604,0.7507692307692307,0.8049498327759197,0.8184347826086956,0.8865000315862621,0.8527017165089811,0.13229865834292992,247,34,47,122,0.12099644128113879,0.2781065088757396
LOG-REG_TF-IDF_20260627_193213,LOG-REG_TF-IDF,125,validation_positive_f1,1.4236223697662354,20000,20000,"[1, 3]",1,0.95,True,3.0,,0.42000000000000004,450,169,281,0.37555555555555553,0.8111111111111111,0.7992271894544,0.7470588235294118,0.7514792899408284,0.7492625368731564,0.7988736926790024,0.811221358124013,0.8884583798353304,0.8531434334296042,0.12838107939320784,238,43,42,127,0.15302491103202848,0.2485207100591716
