run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,calibration_method,calibration_cv,max_features,ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,56,validation_positive_f1,1.4803144931793213,20000,sigmoid,3,20000,"[1, 2]",1,0.95,True,10.0,balanced,0.47000000000000003,450,169,281,0.37555555555555553,0.8266666666666667,0.8081450441154794,0.7898089171974523,0.7337278106508875,0.7607361963190185,0.8124238472884291,0.8252883293074824,0.8789614437027522,0.8341472799161738,0.15004319917564235,248,33,45,124,0.11743772241992882,0.26627218934911245
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,54,validation_positive_f1,1.3817903995513916,20000,sigmoid,3,20000,"[1, 2]",1,0.95,True,3.0,balanced,0.47000000000000003,450,169,281,0.37555555555555553,0.8244444444444444,0.8075449051359262,0.78125,0.7396449704142012,0.7598784194528876,0.8107623270644473,0.8234267662922132,0.8824991050559077,0.8381969420777386,0.1481497277789691,246,35,44,125,0.12455516014234876,0.2603550295857988
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,55,validation_positive_f1,1.4584357738494873,20000,sigmoid,3,20000,"[1, 2]",1,0.95,True,10.0,,0.47000000000000003,450,169,281,0.37555555555555553,0.8244444444444444,0.8051864642338227,0.7884615384615384,0.727810650887574,0.7569230769230769,0.8097658862876254,0.8229178743961352,0.8782665459369537,0.833531584012325,0.15009945576844405,248,33,46,123,0.11743772241992882,0.27218934911242604
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,87,validation_positive_f1,1.399773120880127,32281,sigmoid,3,50000,"[1, 2]",1,0.95,True,10.0,,0.48000000000000004,450,169,281,0.37555555555555553,0.8222222222222222,0.8045863252542693,0.779874213836478,0.7337278106508875,0.7560975609756098,0.808118710557735,0.8210661966759527,0.8798248015329866,0.8362083045621757,0.14491857152485102,246,35,45,124,0.12455516014234876,0.26627218934911245
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,51,validation_positive_f1,1.399970531463623,20000,sigmoid,3,20000,"[1, 2]",1,0.95,True,1.0,,0.45,450,169,281,0.37555555555555553,0.8177777777777778,0.804565267746215,0.7604790419161677,0.7514792899408284,0.7559523809523809,0.8052811550151975,0.8175585387819431,0.8852576386110468,0.8433200335120629,0.14484005641019013,241,40,42,127,0.1423487544483986,0.2485207100591716
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,52,validation_positive_f1,1.3744103908538818,20000,sigmoid,3,20000,"[1, 2]",1,0.95,True,1.0,balanced,0.45,450,169,281,0.37555555555555553,0.8155555555555556,0.8039651287666618,0.7529411764705882,0.757396449704142,0.7551622418879056,0.8036060763806729,0.8156632085210951,0.8861631114573901,0.8430695008431437,0.14504870588209348,239,42,41,128,0.1494661921708185,0.24260355029585798
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,88,validation_positive_f1,1.389636754989624,32281,sigmoid,3,50000,"[1, 2]",1,0.95,True,10.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.82,0.8028069658236644,0.775,0.7337278106508875,0.7537993920972644,0.805971499901522,0.8189565578439149,0.8800353766135315,0.836194059392354,0.14488316024477468,245,36,45,124,0.12811387900355872,0.26627218934911245
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,86,validation_positive_f1,1.3380191326141357,32281,sigmoid,3,50000,"[1, 2]",1,0.95,True,3.0,balanced,0.48000000000000004,450,169,281,0.37555555555555553,0.8177777777777778,0.8010276063930595,0.7701863354037267,0.7337278106508875,0.7515151515151515,0.8038277511961722,0.8168477760056708,0.8822674724673082,0.8393185632947887,0.14360629135620595,244,37,45,124,0.13167259786476868,0.26627218934911245
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,53,validation_positive_f1,1.3918232917785645,20000,sigmoid,3,20000,"[1, 2]",1,0.95,True,3.0,,0.47000000000000003,450,169,281,0.37555555555555553,0.82,0.8004485249215607,0.782051282051282,0.7218934911242604,0.7507692307692307,0.8049498327759197,0.8184347826086956,0.8815725747015098,0.8373992960167933,0.14819125940044287,247,34,47,122,0.12099644128113879,0.2781065088757396
LIN-SVM_TF-IDF_20260627_231047,LIN-SVM_TF-IDF,84,validation_positive_f1,1.3463401794433594,32281,sigmoid,3,50000,"[1, 2]",1,0.95,True,1.0,balanced,0.43,450,169,281,0.37555555555555553,0.8022222222222222,0.799185074438291,0.7150537634408602,0.7869822485207101,0.7492957746478873,0.7929965111771546,0.8038731389355501,0.8846259133694118,0.8423605368611625,0.14156223681582755,228,53,36,133,0.18861209964412812,0.21301775147928995
