run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,calibration_method,calibration_cv,word_max_features,word_ngram_range,char_max_features,char_ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,90,validation_positive_f1,2.0655465126037598,68024,sigmoid,3,50000,"[1, 2]",100000,"[3, 5]",1,0.95,True,3.0,balanced,0.4,450,169,281,0.37555555555555553,0.8044444444444444,0.8056813156731033,0.7098445595854922,0.8106508875739645,0.7569060773480663,0.7966686520569328,0.806565115095584,0.8771504980100654,0.8409570350156816,0.14685392544286532,225,56,32,137,0.199288256227758,0.1893491124260355
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,30,validation_positive_f1,2.108584403991699,55743,sigmoid,3,20000,"[1, 2]",50000,"[3, 5]",1,0.95,True,3.0,balanced,0.41000000000000003,450,169,281,0.37555555555555553,0.8111111111111111,0.8051232917096591,0.7333333333333333,0.7810650887573964,0.7564469914040115,0.801091009313621,0.8122024093266793,0.8767504053570302,0.8411211659565858,0.14869016828494466,233,48,37,132,0.1708185053380783,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,42,validation_positive_f1,2.0817015171051025,55743,sigmoid,3,20000,"[1, 2]",100000,"[3, 5]",1,0.95,True,3.0,balanced,0.41000000000000003,450,169,281,0.37555555555555553,0.8111111111111111,0.8051232917096591,0.7333333333333333,0.7810650887573964,0.7564469914040115,0.801091009313621,0.8122024093266793,0.8767504053570302,0.8411211659565858,0.14869016828494466,233,48,37,132,0.1708185053380783,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,29,validation_positive_f1,2.0475478172302246,55743,sigmoid,3,20000,"[1, 2]",50000,"[3, 5]",1,0.95,True,3.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8111111111111111,0.8051232917096591,0.7333333333333333,0.7810650887573964,0.7564469914040115,0.801091009313621,0.8122024093266793,0.8758449325106867,0.8402872078813771,0.14874066899354305,233,48,37,132,0.1708185053380783,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,41,validation_positive_f1,2.052917242050171,55743,sigmoid,3,20000,"[1, 2]",100000,"[3, 5]",1,0.95,True,3.0,,0.41000000000000003,450,169,281,0.37555555555555553,0.8111111111111111,0.8051232917096591,0.7333333333333333,0.7810650887573964,0.7564469914040115,0.801091009313621,0.8122024093266793,0.8758449325106867,0.8402872078813771,0.14874066899354305,233,48,37,132,0.1708185053380783,0.21893491124260356
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,28,validation_positive_f1,1.9041271209716797,55743,sigmoid,3,20000,"[1, 2]",50000,"[3, 5]",1,0.95,True,1.0,balanced,0.44,450,169,281,0.37555555555555553,0.8177777777777778,0.804565267746215,0.7604790419161677,0.7514792899408284,0.7559523809523809,0.8052811550151975,0.8175585387819431,0.8815304596854009,0.8455188549805488,0.14603820064197628,241,40,42,127,0.1423487544483986,0.2485207100591716
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,40,validation_positive_f1,1.952972173690796,55743,sigmoid,3,20000,"[1, 2]",100000,"[3, 5]",1,0.95,True,1.0,balanced,0.44,450,169,281,0.37555555555555553,0.8177777777777778,0.804565267746215,0.7604790419161677,0.7514792899408284,0.7559523809523809,0.8052811550151975,0.8175585387819431,0.8815304596854009,0.8455188549805488,0.14603820064197628,241,40,42,127,0.1423487544483986,0.2485207100591716
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,95,validation_positive_f1,2.181689739227295,86464,sigmoid,3,50000,"[1, 2]",100000,"[3, 6]",1,0.95,True,3.0,,0.4,450,169,281,0.37555555555555553,0.8044444444444444,0.8045020952220514,0.7120418848167539,0.8047337278106509,0.7555555555555555,0.7962962962962963,0.8064362139917695,0.8780349133483544,0.8417389387425795,0.1464932982898811,226,55,33,136,0.19572953736654805,0.1952662721893491
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,96,validation_positive_f1,2.2129323482513428,86464,sigmoid,3,50000,"[1, 2]",100000,"[3, 6]",1,0.95,True,3.0,balanced,0.41000000000000003,450,169,281,0.37555555555555553,0.8066666666666666,0.802743793299501,0.7228260869565217,0.7869822485207101,0.7535410764872521,0.7972458581705,0.808123492722775,0.8786455810819348,0.8419875499034607,0.14643718085457558,230,51,36,133,0.18149466192170818,0.21301775147928995
LIN-SVM_WORD-CHAR-TF-IDF_20260708_095719,LIN-SVM_WORD-CHAR-TF-IDF,45,validation_positive_f1,2.058664083480835,74183,sigmoid,3,20000,"[1, 2]",100000,"[3, 6]",1,0.95,True,1.0,,0.42000000000000004,450,169,281,0.37555555555555553,0.8088888888888889,0.8009854913769505,0.7344632768361582,0.7692307692307693,0.7514450867052023,0.7981052148327455,0.809718402277823,0.8813409421129104,0.8454464101437252,0.1456792527784282,234,47,39,130,0.16725978647686832,0.23076923076923078
