run_id,technique,config_index,selection_metric,fit_seconds,num_features_fit,max_features,ngram_range,min_df,max_df,sublinear_tf,C,class_weight,validation_threshold,validation_support,validation_positive_support,validation_negative_support,validation_positive_rate,validation_accuracy,validation_balanced_accuracy,validation_positive_precision,validation_positive_recall,validation_positive_f1,validation_macro_f1,validation_weighted_f1,validation_roc_auc,validation_pr_auc,validation_brier_score,validation_tn,validation_fp,validation_fn,validation_tp,validation_false_positive_rate,validation_false_negative_rate
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,3,validation_positive_f1,1.4965136051177979,6297,10000,"[1, 1]",1,0.95,True,1.0,,0.46,450,209,241,0.46444444444444444,0.8577777777777778,0.8602314915920506,0.8165938864628821,0.8947368421052632,0.8538812785388128,0.8576765700053371,0.8579464573985123,0.9108578689273163,0.899521485612267,0.13290128440078136,199,42,22,187,0.17427385892116182,0.10526315789473684
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,75,validation_positive_f1,1.4244349002838135,6297,20000,"[1, 1]",1,0.95,True,1.0,,0.46,450,209,241,0.46444444444444444,0.8577777777777778,0.8602314915920506,0.8165938864628821,0.8947368421052632,0.8538812785388128,0.8576765700053371,0.8579464573985123,0.9108578689273163,0.899521485612267,0.13290128440078136,199,42,22,187,0.17427385892116182,0.10526315789473684
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,147,validation_positive_f1,1.4628069400787354,6297,50000,"[1, 1]",1,0.95,True,1.0,,0.46,450,209,241,0.46444444444444444,0.8577777777777778,0.8602314915920506,0.8165938864628821,0.8947368421052632,0.8538812785388128,0.8576765700053371,0.8579464573985123,0.9108578689273163,0.899521485612267,0.13290128440078136,199,42,22,187,0.17427385892116182,0.10526315789473684
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,12,validation_positive_f1,1.4670801162719727,2674,10000,"[1, 1]",2,0.95,True,1.0,balanced,0.51,450,209,241,0.46444444444444444,0.86,0.8610355575850226,0.8318181818181818,0.8755980861244019,0.8531468531468531,0.8596944456817068,0.8601600522619631,0.9101828505628462,0.8981808201957111,0.13215976500474988,204,37,26,183,0.15352697095435686,0.12440191387559808
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,84,validation_positive_f1,1.4490478038787842,2674,20000,"[1, 1]",2,0.95,True,1.0,balanced,0.51,450,209,241,0.46444444444444444,0.86,0.8610355575850226,0.8318181818181818,0.8755980861244019,0.8531468531468531,0.8596944456817068,0.8601600522619631,0.9101828505628462,0.8981808201957111,0.13215976500474988,204,37,26,183,0.15352697095435686,0.12440191387559808
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,156,validation_positive_f1,1.4691870212554932,2674,50000,"[1, 1]",2,0.95,True,1.0,balanced,0.51,450,209,241,0.46444444444444444,0.86,0.8610355575850226,0.8318181818181818,0.8755980861244019,0.8531468531468531,0.8596944456817068,0.8601600522619631,0.9101828505628462,0.8981808201957111,0.13215976500474988,204,37,26,183,0.15352697095435686,0.12440191387559808
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,11,validation_positive_f1,1.502225399017334,2674,10000,"[1, 1]",2,0.95,True,1.0,,0.48000000000000004,450,209,241,0.46444444444444444,0.86,0.8610355575850226,0.8318181818181818,0.8755980861244019,0.8531468531468531,0.8596944456817068,0.8601600522619631,0.9100637296749985,0.8980245268898878,0.13173277445660447,204,37,26,183,0.15352697095435686,0.12440191387559808
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,83,validation_positive_f1,1.4497365951538086,2674,20000,"[1, 1]",2,0.95,True,1.0,,0.48000000000000004,450,209,241,0.46444444444444444,0.86,0.8610355575850226,0.8318181818181818,0.8755980861244019,0.8531468531468531,0.8596944456817068,0.8601600522619631,0.9100637296749985,0.8980245268898878,0.13173277445660447,204,37,26,183,0.15352697095435686,0.12440191387559808
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,155,validation_positive_f1,1.5036110877990723,2674,50000,"[1, 1]",2,0.95,True,1.0,,0.48000000000000004,450,209,241,0.46444444444444444,0.86,0.8610355575850226,0.8318181818181818,0.8755980861244019,0.8531468531468531,0.8596944456817068,0.8601600522619631,0.9100637296749985,0.8980245268898878,0.13173277445660447,204,37,26,183,0.15352697095435686,0.12440191387559808
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,4,validation_positive_f1,1.5350613594055176,6297,10000,"[1, 1]",1,0.95,True,1.0,balanced,0.48000000000000004,450,209,241,0.46444444444444444,0.8555555555555555,0.8584744584962973,0.8103448275862069,0.8995215311004785,0.8526077097505669,0.8554977546574185,0.8557032689619057,0.9111358176656277,0.8998215372467151,0.1333387162025256,197,44,21,188,0.1825726141078838,0.10047846889952153
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,76,validation_positive_f1,1.4407241344451904,6297,20000,"[1, 1]",1,0.95,True,1.0,balanced,0.48000000000000004,450,209,241,0.46444444444444444,0.8555555555555555,0.8584744584962973,0.8103448275862069,0.8995215311004785,0.8526077097505669,0.8554977546574185,0.8557032689619057,0.9111358176656277,0.8998215372467151,0.1333387162025256,197,44,21,188,0.1825726141078838,0.10047846889952153
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,148,validation_positive_f1,1.5151863098144531,6297,50000,"[1, 1]",1,0.95,True,1.0,balanced,0.48000000000000004,450,209,241,0.46444444444444444,0.8555555555555555,0.8584744584962973,0.8103448275862069,0.8995215311004785,0.8526077097505669,0.8554977546574185,0.8557032689619057,0.9111358176656277,0.8998215372467151,0.1333387162025256,197,44,21,188,0.1825726141078838,0.10047846889952153
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,6,validation_positive_f1,1.476405143737793,6297,10000,"[1, 1]",1,0.95,True,3.0,balanced,0.52,450,209,241,0.46444444444444444,0.8533333333333334,0.8535408683912724,0.8325581395348837,0.8564593301435407,0.8443396226415094,0.8528420802283178,0.8534466994344908,0.9104806527824655,0.8999585023346665,0.1240216429580147,205,36,30,179,0.14937759336099585,0.14354066985645933
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,78,validation_positive_f1,1.4340050220489502,6297,20000,"[1, 1]",1,0.95,True,3.0,balanced,0.52,450,209,241,0.46444444444444444,0.8533333333333334,0.8535408683912724,0.8325581395348837,0.8564593301435407,0.8443396226415094,0.8528420802283178,0.8534466994344908,0.9104806527824655,0.8999585023346665,0.1240216429580147,205,36,30,179,0.14937759336099585,0.14354066985645933
LOG-REG_TF-IDF_20260620_215400,LOG-REG_TF-IDF,150,validation_positive_f1,1.4745707511901855,6297,50000,"[1, 1]",1,0.95,True,3.0,balanced,0.52,450,209,241,0.46444444444444444,0.8533333333333334,0.8535408683912724,0.8325581395348837,0.8564593301435407,0.8443396226415094,0.8528420802283178,0.8534466994344908,0.9104806527824655,0.8999585023346665,0.1240216429580147,205,36,30,179,0.14937759336099585,0.14354066985645933
